.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:09:06,122 - app.core.uart - ERROR - CRC FAIL for frame: 090D007863041579090D007863. Skipping 13 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:06,124 - app.core.uart - INFO - Frame OK: 041579090D007863
dbus-logger  | 2026-04-24 14:09:07,055 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:07,058 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:07,059 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:07,062 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:07,062 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:07,062 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:08,011 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:08,014 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:08,115 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530415790911003E7D0415790911003E7D0415790911003E7D0415790911003E7D0415790911003E7D
dbus-logger  | 2026-04-24 14:09:08,117 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:08,118 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:08,120 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530415790911. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:08,120 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:08,121 - app.core.uart - WARNING - Incomplete frame in transaction: expected 66, have 34. Remaining data: 3E7D0415790911003E7D0415790911003E7D0415790911003E7D0415790911003E7D
dbus-logger  | 2026-04-24 14:09:08,121 - app.core.uart - WARNING - Invalid LEN byte 0x7D in transaction, skipping
dbus-logger  | 2026-04-24 14:09:08,123 - app.core.uart - INFO - Frame OK: 0415790911003E7D
dbus-logger  | 2026-04-24 14:09:08,126 - app.core.uart - INFO - Frame OK: 0415790911003E7D
dbus-logger  | 2026-04-24 14:09:08,128 - app.core.uart - INFO - Frame OK: 0415790911003E7D
dbus-logger  | 2026-04-24 14:09:08,131 - app.core.uart - INFO - Frame OK: 0415790911003E7D
dbus-logger  | 2026-04-24 14:09:09,052 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:09:09,055 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:09,055 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:09:09,057 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:09:09,058 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:09:09,058 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
