dbus-logger  | 2026-04-22 14:42:55,270 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:55,271 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:55,271 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:55,271 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:55,271 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:55,271 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:55,272 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:56,261 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:56,263 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:56,263 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:56,266 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:56,266 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,268 - app.core.uart - ERROR - CRC FAIL for frame: 0B00D3530315790B00D3530315790B. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:56,268 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,269 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,270 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,271 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:56,271 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:56,271 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:56,272 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,272 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:56,273 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,273 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,273 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:56,275 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:56,604 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04157909FE003EF104157909FE003EF104157909FE003EF104157909FE003EF104157909FE003EF1
dbus-logger  | 2026-04-22 14:42:56,606 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:56,607 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:56,608 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:56,609 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:56,611 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-04-22 14:42:57,257 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:57,258 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:57,259 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:57,260 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:57,260 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,261 - app.core.uart - ERROR - CRC FAIL for frame: 0B00D3530315790B00D3530315790B. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:57,261 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,261 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:57,261 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
